timestamp,File Name,a_left_backPose,b_left_backPose,c_left_backPose, DELIVERY_BIMANUAL
1.6461471371183475e+18,frame_1114.jpeg,5727.0,-1618.0,-5879.0,1
1.6461471371663547e+18,frame_1115.jpeg,4762.0,-2529.0,-3647.0,1
1.6461471372143004e+18,frame_1116.jpeg,4309.0,-2906.0,-2594.0,1
1.6461471372675354e+18,frame_1117.jpeg,2626.0,-4159.0,-266.0,1
1.6461471373165932e+18,frame_1118.jpeg,3368.0,-4073.0,-667.0,1
1.6461471373720233e+18,frame_1119.jpeg,2374.0,-3830.0,-1634.0,1
1.646147137422323e+18,frame_1120.jpeg,2520.0,-4004.0,-2557.0,1
1.646147137466607e+18,frame_1121.jpeg,2464.0,-3579.0,-4214.0,1
1.6461471375155643e+18,frame_1122.jpeg,2359.0,-2585.0,-5990.0,1
1.6461471375693586e+18,frame_1123.jpeg,2600.0,-3031.0,-6667.0,1
1.64614713761639e+18,frame_1124.jpeg,1669.0,-2439.0,-7236.0,1
1.6461471376666972e+18,frame_1125.jpeg,2332.0,-1915.0,-7672.0,1
1.6461471377167672e+18,frame_1126.jpeg,1345.0,-1588.0,-7801.0,1
1.6461471377711493e+18,frame_1127.jpeg,2651.0,-271.0,-8679.0,1
1.6461471378219612e+18,frame_1128.jpeg,2358.0,-379.0,-8141.0,1
1.646147137872753e+18,frame_1129.jpeg,1657.0,-712.0,-7501.0,1
1.6461471379215176e+18,frame_1130.jpeg,1977.0,-421.0,-7526.0,1
1.6461471379658253e+18,frame_1131.jpeg,1564.0,-405.0,-7714.0,1
1.6461471380208161e+18,frame_1132.jpeg,2728.0,-225.0,-7219.0,1
1.6461471380711798e+18,frame_1133.jpeg,2624.0,-300.0,-7368.0,1
1.6461471381219722e+18,frame_1134.jpeg,3395.0,3.0,-7128.0,1
1.6461471381717962e+18,frame_1135.jpeg,3590.0,-114.0,-6965.0,1
1.646147138222351e+18,frame_1136.jpeg,3993.0,270.0,-6857.0,1
1.6461471382703596e+18,frame_1137.jpeg,4286.0,160.0,-7658.0,1
1.646147138321669e+18,frame_1138.jpeg,4144.0,402.0,-7724.0,1
1.6461471383662886e+18,frame_1139.jpeg,5581.0,-473.0,-5556.0,1
1.6461471384212813e+18,frame_1140.jpeg,5390.0,-2997.0,-655.0,1
1.6461471384649016e+18,frame_1141.jpeg,5100.0,-3478.0,-1202.0,1
1.6461471385232259e+18,frame_1142.jpeg,4959.0,-4205.0,-4663.0,1
1.6461471385649329e+18,frame_1143.jpeg,6759.0,-2575.0,-6513.0,1
1.6461471386229466e+18,frame_1144.jpeg,8261.0,-3227.0,-6404.0,1
1.64614713867084e+18,frame_1145.jpeg,6878.0,-3134.0,-3781.0,1
1.646147138721327e+18,frame_1146.jpeg,8240.0,-1670.0,-5926.0,1
1.6461471387713098e+18,frame_1147.jpeg,7422.0,-3082.0,-6497.0,1
1.6461471388181243e+18,frame_1148.jpeg,3691.0,-4473.0,-2826.0,1
1.6461471388655437e+18,frame_1149.jpeg,4222.0,-2236.0,-3330.0,1
1.6461471389184036e+18,frame_1150.jpeg,3061.0,71.0,-5744.0,1
1.6461471389715264e+18,frame_1151.jpeg,1855.0,-249.0,-8574.0,1
1.6461471390215547e+18,frame_1152.jpeg,1732.0,-1499.0,-8985.0,1
1.6461471390704893e+18,frame_1153.jpeg,1342.0,-1893.0,-8273.0,1
1.6461471391102129e+18,frame_1154.jpeg,1723.0,-2478.0,-7508.0,1
1.6461471391692954e+18,frame_1155.jpeg,1313.0,-3007.0,-7113.0,1
1.6461471392225234e+18,frame_1156.jpeg,2778.0,-2312.0,-7364.0,1
1.6461471392710707e+18,frame_1157.jpeg,2330.0,-2058.0,-7256.0,1
1.6461471393221778e+18,frame_1158.jpeg,3785.0,-1289.0,-6405.0,1
1.6461471393691643e+18,frame_1159.jpeg,4328.0,-992.0,-6180.0,1
