timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose, PICKUP_LEFT
1.646147121846512e+18,735.0,-5883.0,5611.0,1
1.6461471219065216e+18,516.0,-5944.0,5418.0,1
1.6461471219459594e+18,153.0,-6347.0,5965.0,1
1.6461471219955597e+18,904.0,-6095.0,5351.0,1
1.6461471220076616e+18,930.0,-6100.0,5363.0,1
1.646147122155911e+18,960.0,-6136.0,5372.0,1
1.646147122155911e+18,960.0,-6136.0,5372.0,1
1.646147122213719e+18,979.0,-6191.0,5394.0,1
1.6461471222486295e+18,1097.0,-6382.0,5495.0,1
1.6461471222963973e+18,2137.0,-5715.0,5466.0,1
1.6461471223471846e+18,2308.0,-5027.0,5140.0,1
1.6461471223998167e+18,2526.0,-5653.0,5013.0,1
1.6461471224500713e+18,2844.0,-5809.0,4748.0,1
1.6461471225001254e+18,2805.0,-5543.0,5382.0,1
1.6461471225464876e+18,2730.0,-5643.0,5668.0,1
1.646147122600648e+18,2879.0,-4969.0,5888.0,1
1.6461471226472084e+18,2908.0,-5015.0,6181.0,1
1.6461471227000835e+18,3175.0,-4087.0,5590.0,1
1.6461471227465554e+18,2966.0,-4233.0,6001.0,1
1.6461471228035825e+18,2996.0,-5249.0,6148.0,1
1.646147122849461e+18,2743.0,-4174.0,6577.0,1
1.6461471229000435e+18,3386.0,-2788.0,5811.0,1
1.6461471229497825e+18,2663.0,-2575.0,6629.0,1
1.6461471229996582e+18,2360.0,-4268.0,6044.0,1
1.646147123047482e+18,2407.0,-4152.0,5008.0,1
1.646147123096838e+18,1697.0,-5394.0,4461.0,1
1.6461471231516797e+18,1457.0,-4549.0,3505.0,1
1.6461471231996877e+18,1496.0,-6610.0,2522.0,1
1.6461471232447785e+18,1267.0,-5884.0,2599.0,1
1.6461471232997036e+18,393.0,-9294.0,1856.0,1
1.646147123352027e+18,177.0,-10737.0,1040.0,1
1.646147123397209e+18,-205.0,-10198.0,1324.0,1
1.6461471234494597e+18,-224.0,-7597.0,1396.0,1
1.646147123499359e+18,-300.0,-6084.0,1509.0,1
1.6461471235568873e+18,-1507.0,-8116.0,-66.0,1
1.646147123598992e+18,-2318.0,-10017.0,-930.0,1
1.6461471236516224e+18,-2231.0,-8846.0,-382.0,1
1.6461471236992986e+18,-2274.0,-9516.0,-70.0,1
1.6461471237496182e+18,-2872.0,-6009.0,2058.0,1
1.6461471237989545e+18,-3232.0,-7194.0,2469.0,1
1.6461471453807526e+18,-2775.0,-3320.0,5370.0,1
1.6461471454278088e+18,-5257.0,-6437.0,4224.0,1
1.6461471454797978e+18,-7002.0,-5506.0,3982.0,1
1.6461471455281628e+18,-7851.0,-4387.0,4356.0,1
1.6461471455799928e+18,-8379.0,-5126.0,4409.0,1
1.646147145628139e+18,-8460.0,-4182.0,5762.0,1
1.6461471456842286e+18,-7744.0,-2405.0,7501.0,1
1.6461471457281004e+18,-6314.0,-2671.0,5461.0,1
1.6461471457808218e+18,-6573.0,-3949.0,4781.0,1
1.6461471458259348e+18,-7879.0,-4813.0,4580.0,1
1.6461471458810542e+18,-6802.0,-7066.0,2575.0,1
1.6461471459286715e+18,-5347.0,-7076.0,1859.0,1
1.6461471459778104e+18,-3043.0,-7781.0,1037.0,1
1.6461471460301478e+18,-1824.0,-6871.0,1219.0,1
1.6461471460820767e+18,-852.0,-8818.0,995.0,1
1.6461471461318764e+18,-445.0,-6983.0,765.0,1
1.6461471461789112e+18,692.0,-6654.0,254.0,1
1.6461471462273577e+18,502.0,-7785.0,13.0,1
1.6461471462783462e+18,473.0,-7017.0,-728.0,1
1.6461471463253683e+18,239.0,-8206.0,-687.0,1
1.6461471467304684e+18,-783.0,-7501.0,-3024.0,1
1.6461471467820257e+18,-645.0,-7578.0,-2743.0,1
1.64614714683042e+18,-872.0,-7617.0,-2160.0,1
1.6461471468867092e+18,-738.0,-8104.0,-2825.0,1
1.6461471469325545e+18,-902.0,-7760.0,-2697.0,1
1.6461471469812334e+18,-673.0,-8380.0,-2739.0,1
1.6461471470344573e+18,-235.0,-7814.0,-2553.0,1
1.6461471470816195e+18,-503.0,-7561.0,-2091.0,1
1.64614714713225e+18,-647.0,-7626.0,-1461.0,1
1.64614714717943e+18,-241.0,-8012.0,-1591.0,1
1.6461471472296632e+18,-1152.0,-7488.0,761.0,1
1.646147147281652e+18,-764.0,-8053.0,608.0,1
1.6461471473315034e+18,-781.0,-8369.0,710.0,1
1.646147147382322e+18,-351.0,-7761.0,268.0,1
1.646147147434517e+18,-452.0,-7527.0,693.0,1
1.6461471474816855e+18,-373.0,-7986.0,113.0,1
1.646147147528426e+18,-321.0,-8136.0,-459.0,1
1.6461471475795868e+18,-77.0,-8098.0,-1520.0,1
1.6461471476326098e+18,-25.0,-7839.0,-1618.0,1
1.6461471476799854e+18,-242.0,-8082.0,-1713.0,1
1.6461471477309066e+18,-355.0,-8055.0,-889.0,1
1.6461471477793216e+18,-152.0,-8549.0,-2006.0,1
1.646147147833915e+18,-652.0,-8608.0,-1207.0,1
1.6461471478818012e+18,-869.0,-8350.0,-184.0,1
1.646147147929344e+18,-864.0,-8266.0,396.0,1
1.6461471479811154e+18,-1105.0,-9170.0,494.0,1
1.6461471480333176e+18,-1164.0,-7619.0,723.0,1
1.646147148082466e+18,-677.0,-6902.0,1389.0,1
1.6461471481325517e+18,-333.0,-8183.0,1994.0,1
1.6461471481800596e+18,-976.0,-6023.0,2584.0,1
1.6461471482336947e+18,-942.0,-8904.0,2543.0,1
1.6461471482863296e+18,-1043.0,-6629.0,4449.0,1
1.6461471483302267e+18,-1245.0,-5971.0,5286.0,1
1.646147148383471e+18,-1557.0,-5095.0,5729.0,1
1.6461471484278367e+18,-2095.0,-3808.0,6935.0,1
1.646147148485909e+18,-2136.0,-4482.0,6713.0,1
1.646147148539127e+18,-2279.0,-3435.0,7106.0,1
1.6461471485839173e+18,-2400.0,-3306.0,7777.0,1
1.6461471486337848e+18,-2388.0,-2812.0,8008.0,1
1.6461471486806605e+18,-2439.0,-2053.0,7956.0,1
1.646147148731703e+18,-2652.0,-3133.0,7681.0,1
1.64614714878392e+18,-2901.0,-2401.0,7988.0,1
1.6461471488329167e+18,-2737.0,-2349.0,7366.0,1
1.6461471488826166e+18,-2965.0,-2489.0,7723.0,1
1.646147148933452e+18,-2976.0,-3117.0,7752.0,1
1.646147148984542e+18,-3039.0,-2995.0,7730.0,1
1.646147149032397e+18,-3094.0,-2570.0,7511.0,1
1.646147149084815e+18,-3264.0,-2626.0,7788.0,1
1.6461471491354038e+18,-3139.0,-1717.0,7443.0,1
1.6461471491829775e+18,-3263.0,-2167.0,7576.0,1
1.6461471492299482e+18,-3346.0,-2205.0,7830.0,1
1.646147149287186e+18,-3437.0,-1615.0,7362.0,1
1.646147149331046e+18,-3458.0,-1606.0,7508.0,1
1.6461471493857142e+18,-2932.0,-2572.0,6268.0,1
1.646147149435049e+18,-2881.0,-4345.0,5785.0,1
1.6461471494860572e+18,-2105.0,-7955.0,4330.0,1
1.6461471495342907e+18,-2447.0,-7194.0,5357.0,1
1.6461471495845443e+18,-2607.0,-6706.0,4249.0,1
1.6461471496317535e+18,-3394.0,-5801.0,5242.0,1
1.6461471496871055e+18,-3814.0,-4984.0,5877.0,1
1.6461471497305403e+18,-4042.0,-5893.0,6172.0,1
1.6461471497861002e+18,-2813.0,-6422.0,3959.0,1
1.6461471498301916e+18,-3076.0,-6696.0,4983.0,1
1.6461471498813486e+18,-3068.0,-7308.0,4907.0,1
1.646147149938104e+18,-2792.0,-6599.0,4343.0,1
1.6461471499853276e+18,-3145.0,-5193.0,5084.0,1
1.6461471500370926e+18,-3113.0,-5614.0,5131.0,1
1.646147150085388e+18,-3309.0,-5861.0,4935.0,1
1.6461471501385782e+18,-3279.0,-6806.0,4932.0,1
1.6461471501827046e+18,-2627.0,-6465.0,4453.0,1
1.6461471502312397e+18,-2159.0,-7397.0,4410.0,1
1.6461471502830172e+18,-2090.0,-6671.0,4329.0,1
1.6461471503386998e+18,-2304.0,-7681.0,4980.0,1
1.6461471503827558e+18,-2221.0,-4556.0,5352.0,1
1.6461471504371602e+18,-2061.0,-6686.0,5585.0,1
1.64614715048584e+18,-2428.0,-6134.0,5775.0,1
1.6461471505321754e+18,-2790.0,-4716.0,6135.0,1
1.6461471505828436e+18,-2505.0,-4969.0,6532.0,1
1.64614715064017e+18,-2261.0,-3865.0,6803.0,1
1.6461471506835904e+18,-2273.0,-3985.0,7117.0,1
1.6461471507341998e+18,-2415.0,-3284.0,7222.0,1
