timestamp,a_right_backPose,b_right_backPose,c_right_backPose, DELIVERY_BIMANUAL
1.6461471371169495e+18,-6455.0,3195.0,-4498.0,1
1.6461471371652145e+18,-7538.0,3073.0,-4787.0,1
1.6461471372108708e+18,-7442.0,2403.0,-4950.0,1
1.6461471372703363e+18,-7206.0,1552.0,-5131.0,1
1.6461471373135951e+18,-7238.0,1555.0,-5465.0,1
1.6461471373694436e+18,-6436.0,733.0,-5396.0,1
1.6461471374223496e+18,-5877.0,817.0,-5069.0,1
1.646147137469817e+18,-5859.0,976.0,-5083.0,1
1.6461471375163453e+18,-5762.0,704.0,-4899.0,1
1.6461471375695199e+18,-5524.0,745.0,-4548.0,1
1.6461471376167101e+18,-5896.0,1016.0,-4626.0,1
1.6461471376688904e+18,-5777.0,786.0,-4737.0,1
1.6461471377144187e+18,-6100.0,771.0,-4751.0,1
1.6461471377666872e+18,-6320.0,733.0,-4916.0,1
1.6461471378218452e+18,-6777.0,921.0,-4955.0,1
1.6461471378687793e+18,-6893.0,775.0,-4870.0,1
1.64614713792447e+18,-7298.0,586.0,-4933.0,1
1.6461471379671214e+18,-7464.0,604.0,-5076.0,1
1.6461471380222684e+18,-7381.0,532.0,-5006.0,1
1.6461471380690772e+18,-7462.0,603.0,-4862.0,1
1.6461471381188828e+18,-7378.0,548.0,-4924.0,1
1.6461471381693437e+18,-7671.0,542.0,-5114.0,1
1.6461471382199514e+18,-8833.0,26.0,-5472.0,1
1.6461471382671322e+18,-9918.0,-1262.0,-5526.0,1
1.646147138319689e+18,-10748.0,-2370.0,-4709.0,1
1.6461471383680046e+18,-8989.0,-3393.0,-2868.0,1
1.6461471384221588e+18,-6518.0,-3586.0,-138.0,1
1.6461471384680686e+18,-5978.0,-1940.0,2083.0,1
1.646147138519654e+18,-5261.0,887.0,1339.0,1
1.6461471385652902e+18,-4799.0,1881.0,19.0,1
1.6461471386216768e+18,-4745.0,-54.0,1553.0,1
1.646147138670024e+18,-7224.0,-988.0,4402.0,1
1.6461471387208046e+18,-7607.0,-2051.0,4796.0,1
1.646147138769514e+18,-6421.0,-762.0,2206.0,1
1.6461471388212762e+18,-5472.0,514.0,-370.0,1
1.6461471388646886e+18,-4139.0,894.0,-1530.0,1
1.6461471389215798e+18,-6127.0,-96.0,-111.0,1
