timestamp,a_right_backPose,b_right_backPose,c_right_backPose, SCREW_RIGHT
1.646147245102471e+18,1091.0,473.0,-8227.0,1
1.6461472451504497e+18,726.0,510.0,-8215.0,1
1.6461472452059156e+18,562.0,541.0,-8195.0,1
1.6461472452517788e+18,741.0,476.0,-8057.0,1
1.6461472453027528e+18,863.0,596.0,-8024.0,1
1.6461472453539497e+18,804.0,603.0,-8174.0,1
1.6461472454050248e+18,754.0,685.0,-8157.0,1
1.6461472454526362e+18,759.0,763.0,-8127.0,1
1.6461472455048934e+18,865.0,769.0,-8026.0,1
1.646147245549281e+18,926.0,794.0,-8078.0,1
1.6461472456019945e+18,838.0,836.0,-8185.0,1
1.646147245654945e+18,1015.0,825.0,-8182.0,1
1.6461472457016963e+18,1110.0,793.0,-8188.0,1
1.6461472457567293e+18,1052.0,897.0,-8075.0,1
1.6461472458001876e+18,1108.0,1111.0,-8136.0,1
1.6461472458522196e+18,1105.0,1091.0,-8107.0,1
1.6461472459002893e+18,1192.0,1059.0,-7915.0,1
1.646147245956016e+18,1319.0,1031.0,-8037.0,1
1.646147246001827e+18,831.0,1266.0,-8450.0,1
1.6461472460554422e+18,1423.0,1056.0,-8580.0,1
1.6461472460996403e+18,1290.0,1203.0,-8535.0,1
1.646147246152459e+18,852.0,1364.0,-8296.0,1
1.646147246201505e+18,881.0,671.0,-8348.0,1
1.6461472462523597e+18,-145.0,609.0,-8088.0,1
1.6461472463023176e+18,-281.0,961.0,-8367.0,1
1.6461472463575877e+18,-233.0,554.0,-7812.0,1
1.6461472464024527e+18,-334.0,322.0,-7471.0,1
1.6461472464535478e+18,-364.0,510.0,-7753.0,1
1.6461472465047334e+18,-687.0,782.0,-8311.0,1
1.6461472465558024e+18,-756.0,670.0,-8138.0,1
1.646147246600351e+18,-349.0,619.0,-8237.0,1
1.6461472466541535e+18,535.0,513.0,-7790.0,1
1.6461472467029112e+18,588.0,369.0,-7624.0,1
1.6461472467545953e+18,297.0,518.0,-8111.0,1
1.646147246800463e+18,940.0,204.0,-8453.0,1
1.6461472468546934e+18,1174.0,75.0,-8271.0,1
1.6461472469001185e+18,2484.0,-13.0,-8229.0,1
1.64614724695464e+18,2193.0,-59.0,-8204.0,1
1.6461472470035697e+18,2375.0,-196.0,-7981.0,1
1.6461472470587144e+18,2601.0,-277.0,-8226.0,1
1.646147247103523e+18,1092.0,229.0,-8996.0,1
1.6461472471555625e+18,652.0,-60.0,-8974.0,1
1.6461472472025702e+18,-355.0,37.0,-8604.0,1
1.6461472472550487e+18,468.0,-426.0,-7756.0,1
1.6461472473069512e+18,-993.0,-62.0,-7194.0,1
1.6461472473521897e+18,-507.0,154.0,-7484.0,1
1.6461472474077343e+18,268.0,334.0,-8108.0,1
1.6461472474526118e+18,833.0,134.0,-7681.0,1
1.6461472475048287e+18,1020.0,114.0,-7678.0,1
1.6461472475531323e+18,1520.0,34.0,-7795.0,1
1.6461472476071132e+18,870.0,121.0,-8192.0,1
1.6461472476574285e+18,1644.0,233.0,-8155.0,1
1.646147247707739e+18,2753.0,-260.0,-8297.0,1
1.6461472477573622e+18,1459.0,-69.0,-7764.0,1
1.6461472478063514e+18,1986.0,219.0,-8383.0,1
1.6461472478531123e+18,2318.0,-105.0,-7905.0,1
1.646147247904439e+18,1934.0,-36.0,-7558.0,1
1.6461472479580946e+18,2463.0,-130.0,-7935.0,1
1.646147248006763e+18,2647.0,140.0,-8250.0,1
1.646147248054207e+18,1946.0,396.0,-9326.0,1
1.646147248107107e+18,4420.0,830.0,-8577.0,1
1.6461472481565458e+18,2279.0,1541.0,-8163.0,1
1.6461472482085422e+18,590.0,3.0,-6874.0,1
1.6461472482500403e+18,-400.0,-572.0,-6510.0,1
1.646147248306839e+18,757.0,-587.0,-7741.0,1
1.6461472483552435e+18,325.0,-426.0,-6322.0,1
1.646147248407028e+18,2677.0,978.0,-6497.0,1
1.6461472484515942e+18,4997.0,1690.0,-8229.0,1
1.6461472485119514e+18,2750.0,803.0,-8459.0,1
1.6461472485562975e+18,6197.0,-101.0,-7521.0,1
1.6461472486099236e+18,4800.0,2945.0,-7946.0,1
1.6461472486535252e+18,4114.0,3104.0,-8023.0,1
1.6461472487074327e+18,1159.0,1260.0,-7698.0,1
1.646147248752515e+18,2877.0,-983.0,-5395.0,1
1.6461472488067308e+18,1884.0,-562.0,-6603.0,1
1.6461472488588508e+18,2365.0,321.0,-7236.0,1
1.6461472489051907e+18,2984.0,1311.0,-6458.0,1
1.6461472489567734e+18,4578.0,1529.0,-7305.0,1
1.6461472490086088e+18,3006.0,1409.0,-6875.0,1
1.646147249057991e+18,3425.0,1401.0,-8254.0,1
1.646147249105134e+18,4200.0,537.0,-8359.0,1
1.6461472491528678e+18,6109.0,1675.0,-8035.0,1
1.6461472492060966e+18,3405.0,3276.0,-7569.0,1
1.6461472492577646e+18,1481.0,1584.0,-7443.0,1
1.6461472493035784e+18,899.0,278.0,-7210.0,1
1.6461472493595597e+18,1845.0,-309.0,-5814.0,1
1.6461472494064801e+18,1917.0,631.0,-6750.0,1
1.6461472494569306e+18,4288.0,1257.0,-6950.0,1
1.6461472495093512e+18,3753.0,1541.0,-7065.0,1
1.6461472495587261e+18,3718.0,208.0,-8900.0,1
1.6461472496109652e+18,3239.0,57.0,-7389.0,1
1.6461472496572946e+18,3815.0,888.0,-6927.0,1
1.6461472497029842e+18,4979.0,2208.0,-8445.0,1
1.646147249758278e+18,3254.0,3073.0,-8218.0,1
1.6461472498054715e+18,1817.0,1813.0,-8569.0,1
1.6461472498591114e+18,1006.0,-529.0,-5466.0,1
1.6461472499046031e+18,2136.0,87.0,-5974.0,1
1.6461472499593416e+18,1712.0,190.0,-7487.0,1
1.646147250007932e+18,2707.0,117.0,-7721.0,1
1.6461472500592978e+18,3278.0,269.0,-7628.0,1
1.646147250107329e+18,3177.0,132.0,-7411.0,1
1.6461472501583117e+18,3440.0,480.0,-7926.0,1
1.6461472502040538e+18,4011.0,125.0,-6718.0,1
1.6461472502588588e+18,4127.0,1021.0,-8090.0,1
1.6461473556558833e+18,-2995.0,5812.0,-9932.0,1
1.6461473558093668e+18,-3177.0,5811.0,-9923.0,1
1.6461473558093668e+18,-3177.0,5811.0,-9923.0,1
1.6461473558093668e+18,-3177.0,5811.0,-9923.0,1
1.6461473558093668e+18,-3177.0,5811.0,-9923.0,1
1.6461473560041792e+18,-3327.0,5798.0,-9885.0,1
1.6461473560041792e+18,-3327.0,5798.0,-9885.0,1
1.6461473560339965e+18,-3608.0,5704.0,-9691.0,1
1.646147356122573e+18,-10243.0,3780.0,-7495.0,1
1.646147356122573e+18,-10243.0,3780.0,-7495.0,1
1.646147356212433e+18,-10578.0,2795.0,-5992.0,1
1.6461473562475625e+18,-7741.0,-1370.0,1735.0,1
1.6461473562929298e+18,-5827.0,-1938.0,2514.0,1
1.6461473563851863e+18,-4744.0,-2274.0,2676.0,1
1.6461473563851863e+18,-4744.0,-2274.0,2676.0,1
1.646147356398294e+18,-4197.0,-2423.0,2587.0,1
1.6461473565124055e+18,-3984.0,-2490.0,2636.0,1
1.6461473565483625e+18,-1941.0,211.0,-5157.0,1
1.64614735658591e+18,-3322.0,-206.0,-8645.0,1
1.6461473566022915e+18,-3186.0,-184.0,-8564.0,1
1.6461473566022915e+18,-3186.0,-184.0,-8564.0,1
1.6461473566022915e+18,-3186.0,-184.0,-8564.0,1
1.6461473566022915e+18,-3186.0,-184.0,-8564.0,1
1.6461473570578227e+18,-3408.0,-706.0,-9223.0,1
1.6461473570578227e+18,-3408.0,-706.0,-9223.0,1
1.6461473570578227e+18,-3408.0,-706.0,-9223.0,1
1.6461473570578227e+18,-3408.0,-706.0,-9223.0,1
1.6461473570578227e+18,-3408.0,-706.0,-9223.0,1
1.6461473570840906e+18,-9.0,113.0,-10369.0,1
1.646147357133433e+18,-142.0,-171.0,-9765.0,1
1.646147357133433e+18,-142.0,-171.0,-9765.0,1
1.646147357133433e+18,-142.0,-171.0,-9765.0,1
1.646147357133433e+18,-142.0,-171.0,-9765.0,1
1.646147357133433e+18,-142.0,-171.0,-9765.0,1
1.646147357133433e+18,-142.0,-171.0,-9765.0,1
1.646147357133433e+18,-142.0,-171.0,-9765.0,1
1.6461473577612104e+18,-142.0,24.0,-8533.0,1
1.6461473577612104e+18,-142.0,24.0,-8533.0,1
1.6461473577612104e+18,-142.0,24.0,-8533.0,1
1.6461473577612104e+18,-142.0,24.0,-8533.0,1
1.6461473577612104e+18,-142.0,24.0,-8533.0,1
1.6461473577612104e+18,-142.0,24.0,-8533.0,1
1.6461473577971512e+18,3510.0,3441.0,-8807.0,1
1.6461473578705441e+18,2189.0,-23.0,-5831.0,1
1.6461473578705441e+18,2189.0,-23.0,-5831.0,1
1.6461473578705441e+18,2189.0,-23.0,-5831.0,1
1.6461473580837033e+18,542.0,-270.0,-7050.0,1
1.6461473580837033e+18,542.0,-270.0,-7050.0,1
1.6461473580837033e+18,542.0,-270.0,-7050.0,1
1.6461473581547456e+18,1715.0,991.0,-6500.0,1
1.6461473582218785e+18,1623.0,938.0,-6341.0,1
1.6461473582588045e+18,1636.0,844.0,-6225.0,1
1.6461473582588045e+18,1636.0,844.0,-6225.0,1
1.6461473583443254e+18,2015.0,540.0,-6297.0,1
1.6461473583443254e+18,2015.0,540.0,-6297.0,1
1.6461473583443254e+18,2015.0,540.0,-6297.0,1
1.6461473583443254e+18,2015.0,540.0,-6297.0,1
1.6461473583443254e+18,2015.0,540.0,-6297.0,1
1.6461473583443254e+18,2015.0,540.0,-6297.0,1
1.6461473583443254e+18,2015.0,540.0,-6297.0,1
1.6461473583443254e+18,2015.0,540.0,-6297.0,1
1.6461473590545677e+18,2440.0,1385.0,-8623.0,1
1.6461473590545677e+18,2440.0,1385.0,-8623.0,1
1.6461473590545677e+18,2440.0,1385.0,-8623.0,1
1.6461473590545677e+18,2440.0,1385.0,-8623.0,1
1.6461473590545677e+18,2440.0,1385.0,-8623.0,1
1.6461473590545677e+18,2440.0,1385.0,-8623.0,1
1.6461473590545677e+18,2440.0,1385.0,-8623.0,1
1.6461473590950707e+18,3237.0,781.0,-6215.0,1
1.646147359138285e+18,726.0,703.0,-6301.0,1
1.6461473591555702e+18,1002.0,621.0,-6062.0,1
1.6461473592408417e+18,1149.0,497.0,-5858.0,1
1.6461473592532593e+18,1100.0,267.0,-5795.0,1
1.646147359347378e+18,922.0,54.0,-5751.0,1
1.646147359347378e+18,922.0,54.0,-5751.0,1
1.646147359498189e+18,841.0,-41.0,-5787.0,1
1.646147359498189e+18,841.0,-41.0,-5787.0,1
1.6461473595797358e+18,622.0,-88.0,-5844.0,1
1.646147359591098e+18,273.0,-97.0,-5908.0,1
1.6461473596431304e+18,-151.0,25.0,-6099.0,1
1.6461473596431304e+18,-151.0,25.0,-6099.0,1
1.6461473597935636e+18,-17.0,150.0,-6313.0,1
1.6461473597935636e+18,-17.0,150.0,-6313.0,1
1.6461473597935636e+18,-17.0,150.0,-6313.0,1
1.6461473597935636e+18,-17.0,150.0,-6313.0,1
1.6461473597935636e+18,-17.0,150.0,-6313.0,1
1.646147360112037e+18,374.0,275.0,-6595.0,1
1.646147360112037e+18,374.0,275.0,-6595.0,1
1.646147360112037e+18,374.0,275.0,-6595.0,1
1.646147360112037e+18,374.0,275.0,-6595.0,1
1.6461473602590884e+18,891.0,410.0,-6880.0,1
1.6461473602590884e+18,891.0,410.0,-6880.0,1
1.6461473603062449e+18,1755.0,419.0,-7371.0,1
1.6461473603062449e+18,1755.0,419.0,-7371.0,1
1.6461473604087928e+18,2140.0,417.0,-7567.0,1
1.6461473604602688e+18,2455.0,353.0,-7647.0,1
1.6461473604602688e+18,2455.0,353.0,-7647.0,1
1.6461473606107203e+18,2715.0,163.0,-7546.0,1
1.6461473606107203e+18,2715.0,163.0,-7546.0,1
1.6461473606333558e+18,2958.0,-67.0,-7401.0,1
1.6461473606333558e+18,2958.0,-67.0,-7401.0,1
1.6461473606333558e+18,2958.0,-67.0,-7401.0,1
1.6461473606333558e+18,2958.0,-67.0,-7401.0,1
1.6461473606333558e+18,2958.0,-67.0,-7401.0,1
1.6461473606333558e+18,2958.0,-67.0,-7401.0,1
1.6461473606333558e+18,2958.0,-67.0,-7401.0,1
1.6461473606333558e+18,2958.0,-67.0,-7401.0,1
1.6461473606333558e+18,2958.0,-67.0,-7401.0,1
1.6461473606333558e+18,2958.0,-67.0,-7401.0,1
1.6461473606333558e+18,2958.0,-67.0,-7401.0,1
1.6461473606333558e+18,2958.0,-67.0,-7401.0,1
1.6461473606333558e+18,2958.0,-67.0,-7401.0,1
1.6461473606333558e+18,2958.0,-67.0,-7401.0,1
1.6461473606333558e+18,2958.0,-67.0,-7401.0,1
1.6461473606333558e+18,2958.0,-67.0,-7401.0,1
1.6461473606333558e+18,2958.0,-67.0,-7401.0,1
1.6461473606333558e+18,2958.0,-67.0,-7401.0,1
1.6461473606333558e+18,2958.0,-67.0,-7401.0,1
1.6461473606333558e+18,2958.0,-67.0,-7401.0,1
1.6461473606333558e+18,2958.0,-67.0,-7401.0,1
1.6461473606333558e+18,2958.0,-67.0,-7401.0,1
1.6461473606333558e+18,2958.0,-67.0,-7401.0,1
1.6461473606333558e+18,2958.0,-67.0,-7401.0,1
1.6461473629695337e+18,3275.0,324.0,-6376.0,1
1.6461473629695337e+18,3275.0,324.0,-6376.0,1
1.6461473629695337e+18,3275.0,324.0,-6376.0,1
1.6461473629695337e+18,3275.0,324.0,-6376.0,1
1.6461473629695337e+18,3275.0,324.0,-6376.0,1
1.6461473629695337e+18,3275.0,324.0,-6376.0,1
1.6461473629695337e+18,3275.0,324.0,-6376.0,1
1.6461473629695337e+18,3275.0,324.0,-6376.0,1
1.6461473629695337e+18,3275.0,324.0,-6376.0,1
1.6461473629695337e+18,3275.0,324.0,-6376.0,1
1.6461473629695337e+18,3275.0,324.0,-6376.0,1
1.6461473629695337e+18,3275.0,324.0,-6376.0,1
1.6461473629695337e+18,3275.0,324.0,-6376.0,1
1.6461473629695337e+18,3275.0,324.0,-6376.0,1
1.6461473629695337e+18,3275.0,324.0,-6376.0,1
1.6461473629695337e+18,3275.0,324.0,-6376.0,1
1.6461473629695337e+18,3275.0,324.0,-6376.0,1
1.6461473629695337e+18,3275.0,324.0,-6376.0,1
1.6461473629695337e+18,3275.0,324.0,-6376.0,1
1.6461473629695337e+18,3275.0,324.0,-6376.0,1
1.6461473629695337e+18,3275.0,324.0,-6376.0,1
1.6461473629695337e+18,3275.0,324.0,-6376.0,1
1.6461473629695337e+18,3275.0,324.0,-6376.0,1
1.646147362997775e+18,1716.0,345.0,-7994.0,1
1.646147363049119e+18,2372.0,2028.0,-7722.0,1
1.6461473630957417e+18,2169.0,812.0,-7136.0,1
1.6461473631500977e+18,2939.0,170.0,-6554.0,1
1.6461473631962143e+18,1764.0,1143.0,-6475.0,1
1.6461473632525437e+18,3968.0,1457.0,-7391.0,1
1.646147363299195e+18,3273.0,1544.0,-6898.0,1
1.6461473633516137e+18,3407.0,1217.0,-6865.0,1
1.646147363396784e+18,3396.0,1446.0,-7182.0,1
1.6461473634505416e+18,4049.0,1755.0,-7367.0,1
