timestamp,a_right_wristPose,b_right_wristPose,c_right_wristPose, PICKUP_LEFT
1.6461471218461696e+18,1328.0,7816.0,-3130.0,1
1.646147121898353e+18,1388.0,8134.0,-2495.0,1
1.6461471219470572e+18,1574.0,7948.0,-2712.0,1
1.6461471220012065e+18,1890.0,7928.0,-2967.0,1
1.6461471220475796e+18,2284.0,7762.0,-3108.0,1
1.6461471221017777e+18,2608.0,7450.0,-3077.0,1
1.6461471221476093e+18,2560.0,7789.0,-2825.0,1
1.6461471222022454e+18,2358.0,7732.0,-2935.0,1
1.6461471222480381e+18,2462.0,7301.0,-3404.0,1
1.6461471222982664e+18,2643.0,7046.0,-3529.0,1
1.646147122348775e+18,2804.0,6803.0,-3698.0,1
1.6461471224020754e+18,3063.0,6658.0,-3933.0,1
1.6461471224482988e+18,3112.0,6632.0,-4070.0,1
1.6461471225007946e+18,3307.0,6738.0,-4337.0,1
1.6461471225480794e+18,3317.0,6794.0,-4394.0,1
1.6461471226033533e+18,3177.0,6654.0,-4437.0,1
1.64614712264887e+18,3293.0,6632.0,-4631.0,1
1.6461471226987776e+18,3519.0,6561.0,-4978.0,1
1.6461471227486582e+18,3234.0,6679.0,-4436.0,1
1.6461471228031421e+18,3330.0,6759.0,-4877.0,1
1.646147122852004e+18,2957.0,7259.0,-4348.0,1
1.646147122903091e+18,3180.0,6700.0,-4468.0,1
1.6461471229491535e+18,2818.0,7074.0,-3318.0,1
1.6461471229973115e+18,2460.0,6902.0,-2773.0,1
1.6461471230487872e+18,2098.0,6443.0,-3139.0,1
1.6461471230989537e+18,1780.0,6464.0,-3254.0,1
1.6461471231505398e+18,1705.0,6092.0,-3898.0,1
1.6461471232010368e+18,1361.0,7003.0,-3334.0,1
1.64614712324999e+18,2107.0,6892.0,-4052.0,1
1.646147123303659e+18,1815.0,8080.0,-3425.0,1
1.6461471233536604e+18,1222.0,8656.0,-3991.0,1
1.64614712339802e+18,581.0,8053.0,-5063.0,1
1.6461471234514296e+18,121.0,7592.0,-4681.0,1
1.6461471235035036e+18,370.0,7223.0,-4939.0,1
1.646147123552309e+18,-166.0,7481.0,-5086.0,1
1.6461471235987581e+18,-602.0,7321.0,-4656.0,1
1.646147123654633e+18,-573.0,5998.0,-4100.0,1
1.6461471236990262e+18,-1017.0,5694.0,-3899.0,1
1.6461471237529316e+18,-2512.0,6933.0,-3714.0,1
1.6461471238043845e+18,-2899.0,7010.0,-5142.0,1
1.6461471453818854e+18,-2973.0,7249.0,-5283.0,1
1.646147145429395e+18,-3392.0,6338.0,-4612.0,1
1.6461471454803256e+18,-3304.0,7014.0,-4748.0,1
1.6461471455295785e+18,-2880.0,6702.0,-4075.0,1
1.64614714558412e+18,-2120.0,7181.0,-4189.0,1
1.6461471456282903e+18,-2168.0,6926.0,-3706.0,1
1.6461471456808543e+18,-2348.0,7074.0,-3873.0,1
1.6461471457289677e+18,-2793.0,7235.0,-4065.0,1
1.6461471457786537e+18,-3072.0,7344.0,-4276.0,1
1.6461471458280763e+18,-3233.0,7176.0,-4301.0,1
1.6461471458809736e+18,-3512.0,7092.0,-4144.0,1
1.6461471459293834e+18,-3473.0,6988.0,-4277.0,1
1.6461471459825009e+18,-3245.0,7299.0,-4081.0,1
1.646147146029779e+18,-3026.0,7040.0,-4218.0,1
