timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose,File Name
1.6463875069949358e+18,-7978.0,-1277.0,2386.0,frame_100.jpeg
1.646387507047041e+18,-7978.0,-1302.0,2377.0,frame_101.jpeg
1.6463875070945277e+18,-7991.0,-1342.0,2376.0,frame_102.jpeg
1.6463875071488218e+18,-8003.0,-1311.0,2371.0,frame_103.jpeg
1.6463880204878157e+18,-2468.0,-623.0,8377.0,frame_10357.jpeg
1.6463880205349586e+18,-2505.0,-502.0,8247.0,frame_10358.jpeg
1.646388020592597e+18,-2359.0,-312.0,8322.0,frame_10359.jpeg
1.646388020635577e+18,-2182.0,-27.0,8429.0,frame_10360.jpeg
1.6463880206920253e+18,-2300.0,289.0,8345.0,frame_10361.jpeg
1.6463880207345295e+18,-2149.0,-1200.0,8109.0,frame_10362.jpeg
1.6463880207858609e+18,-2399.0,-538.0,8205.0,frame_10363.jpeg
1.6463880208347328e+18,-2466.0,117.0,8156.0,frame_10364.jpeg
1.646388020888337e+18,-2371.0,-398.0,8310.0,frame_10365.jpeg
1.6463880209354176e+18,-2253.0,-236.0,8392.0,frame_10366.jpeg
1.6463880209865946e+18,-2359.0,-521.0,8235.0,frame_10367.jpeg
1.646388021039841e+18,-2496.0,13.0,8150.0,frame_10368.jpeg
1.6463880210870776e+18,-2296.0,588.0,8381.0,frame_10369.jpeg
1.6463880211385736e+18,-2180.0,-615.0,8336.0,frame_10370.jpeg
1.646388021185056e+18,-2522.0,-538.0,8082.0,frame_10371.jpeg
1.6463880212394468e+18,-2304.0,-92.0,8242.0,frame_10372.jpeg
1.6463880212861348e+18,-2184.0,-110.0,8430.0,frame_10373.jpeg
1.646388021340486e+18,-2210.0,17.0,8334.0,frame_10374.jpeg
1.646388021389347e+18,-2255.0,-464.0,8292.0,frame_10375.jpeg
1.6463880214405074e+18,-2362.0,-169.0,8302.0,frame_10376.jpeg
1.6463880214832824e+18,-2208.0,-191.0,8263.0,frame_10377.jpeg
1.6463880215419249e+18,-2117.0,-181.0,8399.0,frame_10378.jpeg
1.6463880215881416e+18,-2193.0,-140.0,8385.0,frame_10379.jpeg
1.6463880216403233e+18,-2311.0,-415.0,8288.0,frame_10380.jpeg
1.646388021688697e+18,-2293.0,-209.0,8297.0,frame_10381.jpeg
1.6463880217383245e+18,-2264.0,-397.0,8284.0,frame_10382.jpeg
1.6463880217888604e+18,-2181.0,-95.0,8369.0,frame_10383.jpeg
