timestamp,a_right_backPose,b_right_backPose,c_right_backPose,File Name
1.6463906638080666e+18,-4420.0,-3755.0,-6821.0,frame_1100.jpeg
1.6463906638484e+18,-3765.0,-4342.0,-6705.0,frame_1101.jpeg
1.6463906638941775e+18,-3699.0,-4387.0,-6694.0,frame_1102.jpeg
1.6463906639753797e+18,-3525.0,-4385.0,-6678.0,frame_1103.jpeg
1.646390664009002e+18,-3039.0,-3586.0,-6857.0,frame_1104.jpeg
1.646390664063736e+18,-3297.0,-3177.0,-5795.0,frame_1105.jpeg
1.6463906641104689e+18,-4568.0,-4171.0,-3337.0,frame_1106.jpeg
1.6463906641610276e+18,-6211.0,-2894.0,-3038.0,frame_1107.jpeg
1.6463906642081244e+18,-8076.0,-1895.0,-3214.0,frame_1108.jpeg
1.646390664263158e+18,-8438.0,-574.0,-3429.0,frame_1109.jpeg
1.6463906643052127e+18,-8672.0,-488.0,-3253.0,frame_1110.jpeg
1.6463906643645645e+18,-8773.0,128.0,-2557.0,frame_1111.jpeg
1.6463906644106527e+18,-8204.0,50.0,-2277.0,frame_1112.jpeg
1.6463906644661742e+18,-8748.0,864.0,-2084.0,frame_1113.jpeg
1.6463906645101489e+18,-8203.0,503.0,-1781.0,frame_1114.jpeg
1.646390664565549e+18,-8703.0,825.0,-1850.0,frame_1115.jpeg
1.646390664611828e+18,-8167.0,302.0,-1301.0,frame_1116.jpeg
1.6463906646646267e+18,-8368.0,-61.0,-1087.0,frame_1117.jpeg
1.6463906647115054e+18,-8172.0,100.0,-1197.0,frame_1118.jpeg
1.6463906647644022e+18,-8245.0,-296.0,-680.0,frame_1119.jpeg
1.6463906648107162e+18,-8116.0,-98.0,-895.0,frame_1120.jpeg
1.646390664866272e+18,-8440.0,-49.0,-1046.0,frame_1121.jpeg
1.646390664912143e+18,-8259.0,-48.0,-965.0,frame_1122.jpeg
1.6463906649610222e+18,-8198.0,-196.0,-899.0,frame_1123.jpeg
1.6463906650119813e+18,-8216.0,-187.0,-925.0,frame_1124.jpeg
1.646390665061665e+18,-8044.0,-334.0,-1033.0,frame_1125.jpeg
1.6463906651139804e+18,-8289.0,-219.0,-1000.0,frame_1126.jpeg
1.6463906651615406e+18,-8368.0,-228.0,-899.0,frame_1127.jpeg
1.646390665213002e+18,-8285.0,-135.0,-925.0,frame_1128.jpeg
1.646390665261171e+18,-8342.0,-170.0,-1338.0,frame_1129.jpeg
1.646390665313496e+18,-8231.0,-402.0,-1091.0,frame_1130.jpeg
1.6463906653619057e+18,-8226.0,-31.0,-1059.0,frame_1131.jpeg
1.6463906654125125e+18,-8040.0,-280.0,-1291.0,frame_1132.jpeg
1.6463906654616256e+18,-7977.0,340.0,-1173.0,frame_1133.jpeg
1.6463911762528837e+18,-2194.0,5212.0,-5982.0,frame_11336.jpeg
1.6463911763031946e+18,-2395.0,4906.0,-5944.0,frame_11337.jpeg
1.6463911763511498e+18,-2561.0,4995.0,-6065.0,frame_11338.jpeg
1.6463911764007447e+18,-2705.0,4845.0,-6096.0,frame_11339.jpeg
1.6463906655119867e+18,-8427.0,1054.0,-1211.0,frame_1134.jpeg
1.646391176453307e+18,-2702.0,4701.0,-6087.0,frame_11340.jpeg
1.6463911765018916e+18,-2874.0,4639.0,-6013.0,frame_11341.jpeg
1.6463911765550577e+18,-2828.0,4542.0,-5985.0,frame_11342.jpeg
