timestamp,a_right_wristPose,b_right_wristPose,c_right_wristPose,File Name
1.6466619971130816e+18,-5071.0,5669.0,2680.0,frame_100.jpeg
1.6466619971585848e+18,-5022.0,5631.0,2685.0,frame_101.jpeg
1.6466619972148959e+18,-5015.0,5646.0,2710.0,frame_102.jpeg
1.6466619972581837e+18,-5009.0,5628.0,2710.0,frame_103.jpeg
1.64666199731075e+18,-4987.0,5641.0,2694.0,frame_104.jpeg
1.6466619973579607e+18,-4992.0,5629.0,2696.0,frame_105.jpeg
1.646661997410507e+18,-5011.0,5619.0,2718.0,frame_106.jpeg
1.6466619974574597e+18,-5031.0,5623.0,2723.0,frame_107.jpeg
1.6466619975254333e+18,-5034.0,5622.0,2725.0,frame_108.jpeg
1.6466619975254333e+18,-5034.0,5622.0,2725.0,frame_109.jpeg
1.6466619976418875e+18,-5041.0,5616.0,2724.0,frame_110.jpeg
1.6466619976558702e+18,-5041.0,5613.0,2720.0,frame_111.jpeg
1.6466619976558702e+18,-5041.0,5613.0,2720.0,frame_112.jpeg
1.6466619976558702e+18,-5041.0,5613.0,2720.0,frame_113.jpeg
1.646661997953331e+18,-5043.0,5609.0,2719.0,frame_114.jpeg
1.646661997953331e+18,-5043.0,5609.0,2719.0,frame_115.jpeg
1.646661997953331e+18,-5043.0,5609.0,2719.0,frame_116.jpeg
1.646661997953331e+18,-5043.0,5609.0,2719.0,frame_117.jpeg
1.646661997953331e+18,-5043.0,5609.0,2719.0,frame_118.jpeg
1.646661997953331e+18,-5043.0,5609.0,2719.0,frame_119.jpeg
1.646661997953331e+18,-5043.0,5609.0,2719.0,frame_120.jpeg
1.646661998336655e+18,-5043.0,5614.0,2715.0,frame_121.jpeg
1.6466620529299487e+18,1713.0,3592.0,3855.0,frame_1215.jpeg
1.6466620529761956e+18,1774.0,2570.0,3766.0,frame_1216.jpeg
1.6466620530299182e+18,1778.0,3140.0,3492.0,frame_1217.jpeg
1.646662053095173e+18,1446.0,4626.0,4235.0,frame_1218.jpeg
1.646662053130118e+18,1921.0,3964.0,5553.0,frame_1219.jpeg
1.646661998336655e+18,-5043.0,5614.0,2715.0,frame_122.jpeg
1.6466620531784195e+18,2272.0,3825.0,6324.0,frame_1220.jpeg
1.6466620532273364e+18,2541.0,2261.0,6698.0,frame_1221.jpeg
1.6466620532778696e+18,2471.0,1929.0,6734.0,frame_1222.jpeg
1.6466620533299868e+18,1891.0,3745.0,7343.0,frame_1223.jpeg
1.6466620533768591e+18,1881.0,3717.0,7523.0,frame_1224.jpeg
1.6466620534318103e+18,1778.0,4055.0,7324.0,frame_1225.jpeg
1.6466620534757972e+18,1898.0,4372.0,7210.0,frame_1226.jpeg
1.6466620535300004e+18,2011.0,4200.0,7118.0,frame_1227.jpeg
1.6466620535757645e+18,2077.0,3825.0,7309.0,frame_1228.jpeg
1.646662053634307e+18,2016.0,3808.0,7464.0,frame_1229.jpeg
1.646661998336655e+18,-5043.0,5614.0,2715.0,frame_123.jpeg
1.6466620536759327e+18,2349.0,3925.0,7084.0,frame_1230.jpeg
1.646662053730215e+18,2922.0,3998.0,6883.0,frame_1231.jpeg
1.6466620537722028e+18,2472.0,3905.0,7004.0,frame_1232.jpeg
1.6466620538271913e+18,1825.0,3432.0,7077.0,frame_1233.jpeg
1.6466620538772063e+18,1399.0,2938.0,6961.0,frame_1234.jpeg
1.6466620539275328e+18,1698.0,3445.0,6784.0,frame_1235.jpeg
1.6466620539924762e+18,1284.0,3518.0,6286.0,frame_1236.jpeg
1.6466620540315064e+18,603.0,3710.0,4219.0,frame_1237.jpeg
1.646662054087898e+18,2539.0,3285.0,1596.0,frame_1238.jpeg
1.6466620541223793e+18,5260.0,6174.0,-2293.0,frame_1239.jpeg
1.646661998336655e+18,-5043.0,5614.0,2715.0,frame_124.jpeg
1.6466620541792253e+18,7117.0,8898.0,-4984.0,frame_1240.jpeg
1.6466620542284314e+18,6709.0,11513.0,-5306.0,frame_1241.jpeg
1.646662054283491e+18,5724.0,11833.0,-3909.0,frame_1242.jpeg
1.646662054317203e+18,4801.0,11996.0,-3618.0,frame_1243.jpeg
1.6466620543786898e+18,4080.0,8900.0,-1814.0,frame_1244.jpeg
1.6466620544284646e+18,3068.0,4714.0,2424.0,frame_1245.jpeg
1.6466620544837832e+18,2633.0,3291.0,5001.0,frame_1246.jpeg
1.6466620545307182e+18,2246.0,4043.0,5213.0,frame_1247.jpeg
1.6466620545831846e+18,1963.0,2299.0,7016.0,frame_1248.jpeg
1.6466620546286323e+18,2307.0,3063.0,7158.0,frame_1249.jpeg
1.646661998339139e+18,-5041.0,5622.0,2713.0,frame_125.jpeg
1.646662054678488e+18,2854.0,2214.0,7116.0,frame_1250.jpeg
1.646662054730026e+18,2912.0,1722.0,6673.0,frame_1251.jpeg
1.646662054782713e+18,2881.0,867.0,7708.0,frame_1252.jpeg
1.646662054827887e+18,2858.0,61.0,7561.0,frame_1253.jpeg
1.6466620548835978e+18,2565.0,919.0,8101.0,frame_1254.jpeg
1.6466620549281293e+18,2671.0,790.0,7968.0,frame_1255.jpeg
1.6466620549832996e+18,2724.0,627.0,7902.0,frame_1256.jpeg
1.6466620550301783e+18,2698.0,223.0,8083.0,frame_1257.jpeg
1.646662055084249e+18,2581.0,305.0,7994.0,frame_1258.jpeg
1.6466620551295076e+18,2785.0,1413.0,7512.0,frame_1259.jpeg
1.646661998339139e+18,-5041.0,5622.0,2713.0,frame_126.jpeg
1.6466620551824637e+18,2842.0,913.0,7820.0,frame_1260.jpeg
1.6466620552185075e+18,2751.0,1926.0,7863.0,frame_1261.jpeg
1.6466620552835098e+18,2823.0,1890.0,7763.0,frame_1262.jpeg
1.646662055334542e+18,2826.0,1763.0,7799.0,frame_1263.jpeg
1.646662055383429e+18,2897.0,2327.0,7738.0,frame_1264.jpeg
1.6466620554333742e+18,2866.0,2298.0,7738.0,frame_1265.jpeg
1.6466620554822587e+18,2865.0,2054.0,7629.0,frame_1266.jpeg
1.6466620555343757e+18,2880.0,2796.0,7335.0,frame_1267.jpeg
1.6466620555834836e+18,2683.0,2105.0,7353.0,frame_1268.jpeg
1.646662055634441e+18,2589.0,2499.0,7442.0,frame_1269.jpeg
1.6466619985234081e+18,-5045.0,5628.0,2710.0,frame_127.jpeg
1.6466620556825403e+18,2507.0,2152.0,7312.0,frame_1270.jpeg
1.6466620557358559e+18,2308.0,2214.0,7540.0,frame_1271.jpeg
1.6466620557820918e+18,1536.0,2097.0,7605.0,frame_1272.jpeg
1.6466620558364186e+18,-25.0,1126.0,7043.0,frame_1273.jpeg
1.6466620558827617e+18,330.0,868.0,5332.0,frame_1274.jpeg
1.646662055941077e+18,1018.0,1215.0,3933.0,frame_1275.jpeg
1.646662055984121e+18,5530.0,5901.0,-784.0,frame_1276.jpeg
1.6466620560353252e+18,7208.0,10423.0,-1575.0,frame_1277.jpeg
1.6466620560838505e+18,7539.0,13411.0,-3503.0,frame_1278.jpeg
1.64666205613324e+18,6174.0,12392.0,-3067.0,frame_1279.jpeg
1.6466619985234081e+18,-5045.0,5628.0,2710.0,frame_128.jpeg
1.6466620561794698e+18,5387.0,10887.0,-2108.0,frame_1280.jpeg
1.646662056233863e+18,3935.0,8925.0,-1515.0,frame_1281.jpeg
1.646662056284083e+18,3478.0,5170.0,338.0,frame_1282.jpeg
1.646662056333948e+18,2991.0,1097.0,4765.0,frame_1283.jpeg
1.6466620563823409e+18,2615.0,3339.0,6236.0,frame_1284.jpeg
1.6466620564330445e+18,2523.0,2032.0,6972.0,frame_1285.jpeg
1.6466620564823352e+18,2322.0,2070.0,7482.0,frame_1286.jpeg
1.6466620565332442e+18,2482.0,2079.0,7350.0,frame_1287.jpeg
1.646662056576716e+18,2369.0,2866.0,7351.0,frame_1288.jpeg
1.6466620566318825e+18,2288.0,2118.0,7802.0,frame_1289.jpeg
1.646661998577772e+18,-5047.0,5632.0,2709.0,frame_129.jpeg
1.6466620566822807e+18,2402.0,3309.0,7216.0,frame_1290.jpeg
1.646662056732255e+18,2319.0,3154.0,7388.0,frame_1291.jpeg
1.6466620567830275e+18,2429.0,3611.0,6686.0,frame_1292.jpeg
1.6466620568330972e+18,2302.0,2910.0,6990.0,frame_1293.jpeg
1.646662056879112e+18,2026.0,2402.0,7735.0,frame_1294.jpeg
1.646662056933685e+18,1439.0,2591.0,7357.0,frame_1295.jpeg
1.646662056984729e+18,827.0,2589.0,7429.0,frame_1296.jpeg
1.6466620570320422e+18,426.0,2786.0,6474.0,frame_1297.jpeg
1.6466620570470666e+18,590.0,2886.0,5849.0,frame_1298.jpeg
1.6466620571331566e+18,1148.0,2816.0,4685.0,frame_1299.jpeg
1.6466619986152428e+18,-5062.0,5612.0,2728.0,frame_130.jpeg
1.6466620571852017e+18,5594.0,8235.0,9.0,frame_1300.jpeg
1.6466620572333622e+18,7011.0,10497.0,-1881.0,frame_1301.jpeg
1.6466620572792264e+18,6425.0,10308.0,-2105.0,frame_1302.jpeg
1.64666205733347e+18,4888.0,9954.0,-2679.0,frame_1303.jpeg
1.6466620573856998e+18,4259.0,8865.0,-2872.0,frame_1304.jpeg
1.6466620574342272e+18,3994.0,9953.0,-2684.0,frame_1305.jpeg
1.6466620574859817e+18,3862.0,8960.0,-1666.0,frame_1306.jpeg
1.646662057535181e+18,3713.0,7484.0,-901.0,frame_1307.jpeg
1.64666205759116e+18,3031.0,3878.0,5005.0,frame_1308.jpeg
1.6466620576335176e+18,2816.0,2308.0,6605.0,frame_1309.jpeg
1.6466619986602153e+18,-5068.0,5644.0,2731.0,frame_131.jpeg
1.6466620576864192e+18,2366.0,2418.0,6630.0,frame_1310.jpeg
1.6466620577360796e+18,2243.0,299.0,7376.0,frame_1311.jpeg
1.646662057785908e+18,1856.0,953.0,7569.0,frame_1312.jpeg
1.6466620578344294e+18,1906.0,-156.0,7623.0,frame_1313.jpeg
1.6466620578850063e+18,1864.0,220.0,7801.0,frame_1314.jpeg
1.6466620579355187e+18,1943.0,746.0,8085.0,frame_1315.jpeg
1.6466620579813955e+18,2101.0,660.0,7975.0,frame_1316.jpeg
1.6466620580354348e+18,2319.0,877.0,8052.0,frame_1317.jpeg
1.6466620580862518e+18,2385.0,1101.0,7965.0,frame_1318.jpeg
1.646662058134057e+18,2425.0,928.0,7958.0,frame_1319.jpeg
1.6466619987081736e+18,-5072.0,5597.0,2779.0,frame_132.jpeg
1.6466620581867512e+18,2363.0,1699.0,7923.0,frame_1320.jpeg
1.646662058234849e+18,2140.0,1995.0,7644.0,frame_1321.jpeg
1.6466620582831647e+18,1708.0,2747.0,7791.0,frame_1322.jpeg
1.64666205833399e+18,1250.0,2957.0,7627.0,frame_1323.jpeg
1.6466620583839306e+18,87.0,3617.0,7169.0,frame_1324.jpeg
1.646662058431255e+18,-1156.0,3127.0,6046.0,frame_1325.jpeg
1.6466620584864376e+18,-102.0,2726.0,3870.0,frame_1326.jpeg
1.6466620585386762e+18,1644.0,3041.0,1884.0,frame_1327.jpeg
